slug	translator	role	year	title	source	scope
mahabharata-ignatiev-xvi-xviii-slovar-predmetov	А. Игнатьев	Перевод с санскрита, предисловие и комментарий	—	Махабхарата XVI–XVIII (Игнатьев): СЛОВАРЬ ПРЕДМЕТОВ И ТЕРМИНОВ	meta.json	A41 corpus / Samudra
mahabharata-mahaprasthanikaparva-ignatiev	А. Игнатьев	Перевод с санскрита	—	Махабхарата XVII. Махапрастханика-парва	meta.json	A41 corpus / Samudra
mahabharata-mausalaparva-ignatiev	А. Игнатьев	Перевод с санскрита	—	Махабхарата XVI. Маусала-парва	meta.json	A41 corpus / Samudra
mahabharata-svargarohanikaparva-ignatiev	А. Игнатьев	Перевод с санскрита	—	Махабхарата XVIII. Сварга-арохана-парва	meta.json	A41 corpus / Samudra
maya-tantra	А. Игнатьев	Перевод с санскрита, предисловие и комментарий	2023	Майя-тантра	meta.json	A41 corpus / Samudra
nilamata-purana	А. Игнатьев	Перевод с санскрита	—	Ниламата-пурана	meta.json	A41 corpus / Samudra
niruttara-tantra	А. Игнатьев	Перевод с санскрита, предисловие и комментарий	—	Нируттара-тантра	meta.json	A41 corpus / Samudra
nirvana-tantra	А. Игнатьев	Перевод с санскрита, предисловие и комментарий	—	Нирвана-тантра	meta.json	A41 corpus / Samudra
padma-purana	А. Игнатьев	Перевод с санскрита	—	Падма-пурана (Джаландхара)	meta.json	A41 corpus / Samudra
shaktisangama-tantra	А. Игнатьев	Перевод с санскрита	—	Шактисангама-тантра (избранное)	meta.json	A41 corpus / Samudra
yogini-tantra	А. Игнатьев	Перевод с санскрита	—	Йогини-тантра	meta.json	A41 corpus / Samudra
yoni-puja-texts	А. Игнатьев	Перевод с санскрита	—	Тексты для йони-пуджи	meta.json	A41 corpus / Samudra
yoni-tantra	А. Игнатьев	Перевод с санскрита, предисловие и комментарий	—	Йони-тантра	meta.json	A41 corpus / Samudra
bhagavadgita-1788	Переводчик: А.А. Петров.	translation	1788	Bhagavadgītā · Переводчик: А.А. Петров.	A41_gita_editions.tsv	A41 §5 Gītā register
bhagavadgita-1909	Переводъ въ стихахъ А. П. Казначеевой	translation	1909	Bhagavadgītā · Переводъ въ стихахъ А. П. Казначеевой	A41_gita_editions.tsv	A41 §5 Gītā register
bhagavadgita-1914	А.А. Каменской и И.В. де Манциарли	translation	1914	Bhagavadgītā · А.А. Каменской и И.В. де Манциарли	A41_gita_editions.tsv	A41 §5 Gītā register
bhagavadgita-smirnov	Б.Л.Смирнов	translation	1977	Bhagavadgītā · Б.Л.Смирнов	A41_gita_editions.tsv	A41 §5 Gītā register
bhagavadgita-sementsov	В.С.Семенцов	translation	1999	Bhagavadgītā · В.С.Семенцов	A41_gita_editions.tsv	A41 §5 Gītā register
bhagavadgita-erman	В.Г.Эрман	translation	2009	Bhagavadgītā · В.Г.Эрман	A41_gita_editions.tsv	A41 §5 Gītā register
bhagavadgita-burba	Д. Бурба	translation	2009	Bhagavadgītā · Д. Бурба	A41_gita_editions.tsv	A41 §5 Gītā register
bhagavadgita-prabhupada	Шри Шримад А.Ч. Бхактиведанта Свами Прабхупада	translation	1984	Bhagavadgītā · Шри Шримад А.Ч. Бхактиведанта Свами Прабхупада	A41_gita_editions.tsv	A41 §5 Gītā register
bhagavadgita-radha	Р.Т.Блиндерман	translation	2016	Bhagavadgītā · Р.Т.Блиндерман	A41_gita_editions.tsv	A41 §5 Gītā register
bhagavadgita-sharma	Шайлендра Шарма	translation	2015	Bhagavadgītā · Шайлендра Шарма	A41_gita_editions.tsv	A41 §5 Gītā register
bhagavadgity	Институт исследования санскрита	translation	2026	Bhagavadgītā · Институт исследования санскрита	A41_gita_editions.tsv	A41 §5 Gītā register
ramanuja_gitabhashya	В.С. Семенцова,	translation	2021	Bhagavadgītā · В.С. Семенцова,	A41_gita_editions.tsv	A41 §5 Gītā register
gitartha-samgraha_yamunacharya	Р.В. Псху	translation	2021	Bhagavadgītā · Р.В. Псху	A41_gita_editions.tsv	A41 §5 Gītā register
gitarthasamgraha-abhinavagupta	О.Н. Ерченков	translation	2008	Bhagavadgītā · О.Н. Ерченков	A41_gita_editions.tsv	A41 §5 Gītā register
