slug	translator	role	year	title	source	scope
01_ramayana-balakanda	П. А. Гринцер	Перевод с санскрита, комментарий	2006	Рамаяна I (Балаканда)	meta.json	A41 corpus / Samudra
02_ramayana-ayodhyakanda	П. А. Гринцер	Перевод с санскрита, комментарий	2006	Рамаяна II (Айодхьяканда)	meta.json	A41 corpus / Samudra
03_mahabharata-aranyakaparva	Я. В. Васильков, С. Л. Невелева	Перевод с санскрита, предисловие и комментарий	1987	Махабхарата III (Араньякапарва)	meta.json	A41 corpus / Samudra
03_ramayana-aranyakanda	П. А. Гринцер (атрибуция требует проверки)	Перевод с санскрита	—	Рамаяна III (Араньяканда)	meta.json	A41 corpus / Samudra
adbhuta-ramayana	А. Игнатьев	Перевод с санскрита	—	Адбхута-Рамаяна	meta.json	A41 corpus / Samudra
bhagavata-purana	А. Игнатьев	Перевод с санскрита	—	Бхагавата-пурана (фрагменты)	meta.json	A41 corpus / Samudra
bhagavati-manasa-puja-stotra	А. Игнатьев	Перевод с санскрита	—	Гимн мысленного поклонения Бхагавати	meta.json	A41 corpus / Samudra
brihannila-tantra	А. Игнатьев	Перевод с санскрита	—	Бриханнила-тантра (избранное)	meta.json	A41 corpus / Samudra
chinachara-tantra	А. Игнатьев	Перевод с санскрита, предисловие и комментарий	—	Чиначара-тантра	meta.json	A41 corpus / Samudra
devi-purana	А. Игнатьев	Перевод с санскрита	—	Деви-пурана	meta.json	A41 corpus / Samudra
devibhagavata-purana	А. Игнатьев	Перевод с санскрита, предисловие и комментарий	2018	Девибхагавата-пурана	meta.json	A41 corpus / Samudra
devimahatmya	А. Игнатьев	Перевод с санскрита	—	Деви-махатмья	meta.json	A41 corpus / Samudra
guptasadhana-tantra	А. Игнатьев	Перевод с санскрита, предисловие и комментарий	—	Гуптасадхана-тантра	meta.json	A41 corpus / Samudra
kadambara-svikarana-karika	А. Игнатьев	Перевод с санскрита	—	Кадамбара-свикарана-карика	meta.json	A41 corpus / Samudra
kadambara-svikarana-karika-literatura	А. Игнатьев	Перевод с санскрита, предисловие и комментарий	—	Кадамбара-свикарана-карика: ЛИТЕРАТУРА	meta.json	A41 corpus / Samudra
kadambara-svikarana-karika-ob-avtore	А. Игнатьев	Перевод с санскрита, предисловие и комментарий	—	Кадамбара-свикарана-карика: Об авторе перевода	meta.json	A41 corpus / Samudra
kadambara-svikarana-karika-preface	А. Игнатьев	Перевод с санскрита, предисловие и комментарий	—	Кадамбара-свикарана-карика: Предисловие	meta.json	A41 corpus / Samudra
kalika-purana	А. Игнатьев	Перевод с санскрита	—	Калика-пурана	meta.json	A41 corpus / Samudra
kama-samuha	А. Игнатьев	Перевод с санскрита	—	Кама-самуха	meta.json	A41 corpus / Samudra
kama-samuha-antologii	А. Игнатьев	Перевод с санскрита, предисловие и комментарий	—	Кама-самуха: ИЗВЕСТНЫЕ АНТОЛОГИИ САНСКРИТСКОЙ ПОЭЗИИ	meta.json	A41 corpus / Samudra
kama-samuha-istochniki	А. Игнатьев	Перевод с санскрита, предисловие и комментарий	—	Кама-самуха: ИСТОЧНИКИ «КАМА-САМУХИ»	meta.json	A41 corpus / Samudra
kama-samuha-literatura	А. Игнатьев	Перевод с санскрита, предисловие и комментарий	—	Кама-самуха: ЛИТЕРАТУРА	meta.json	A41 corpus / Samudra
kama-samuha-ob-avtore	А. Игнатьев	Перевод с санскрита, предисловие и комментарий	—	Кама-самуха: Об авторе перевода	meta.json	A41 corpus / Samudra
kama-samuha-preface	А. Игнатьев	Перевод с санскрита, предисловие и комментарий	—	Кама-самуха: Предисловие	meta.json	A41 corpus / Samudra
kama-samuha-slovar-flory	А. Игнатьев	Перевод с санскрита, предисловие и комментарий	—	Кама-самуха: СЛОВАРЬ ФЛОРЫ И ФАУНЫ	meta.json	A41 corpus / Samudra
kama-samuha-slovar-imen	А. Игнатьев	Перевод с санскрита, предисловие и комментарий	—	Кама-самуха: СЛОВАРЬ ИМЕН	meta.json	A41 corpus / Samudra
kama-samuha-slovar-predmetov	А. Игнатьев	Перевод с санскрита, предисловие и комментарий	—	Кама-самуха: СЛОВАРЬ ПРЕДМЕТОВ И ТЕРМИНОВ	meta.json	A41 corpus / Samudra
kama-samuha-slovar-toponimov	А. Игнатьев	Перевод с санскрита, предисловие и комментарий	—	Кама-самуха: СЛОВАРЬ ТОПОНИМОВ И ЭТНОНИМОВ	meta.json	A41 corpus / Samudra
kathasaritsagara	И. Д. Серебряков и др.	Перевод с санскрита	1967	Океан сказаний (Катхасаритсагара)	meta.json	A41 corpus / Samudra
kularnava-tantra	А. Игнатьев	Перевод с санскрита	—	Куларнава-тантра	meta.json	A41 corpus / Samudra
linga-purana	А. Игнатьев	Перевод с санскрита	—	Линга-пурана	meta.json	A41 corpus / Samudra
mahabhagavata-purana	А. Игнатьев	Перевод с санскрита	—	Махабхагавата-пурана	meta.json	A41 corpus / Samudra
mahabharata-ignatiev-xvi-xviii-literatura	А. Игнатьев	Перевод с санскрита, предисловие и комментарий	—	Махабхарата XVI–XVIII (Игнатьев): БИБЛИОГРАФИЯ	meta.json	A41 corpus / Samudra
mahabharata-ignatiev-xvi-xviii-ob-avtore	А. Игнатьев	Перевод с санскрита, предисловие и комментарий	—	Махабхарата XVI–XVIII (Игнатьев): Об авторе перевода	meta.json	A41 corpus / Samudra
mahabharata-ignatiev-xvi-xviii-preface	А. Игнатьев	Перевод с санскрита, предисловие и комментарий	—	Махабхарата XVI–XVIII (Игнатьев): Предисловие	meta.json	A41 corpus / Samudra
mahabharata-ignatiev-xvi-xviii-slovar-imen	А. Игнатьев	Перевод с санскрита, предисловие и комментарий	—	Махабхарата XVI–XVIII (Игнатьев): СЛОВАРЬ ИМЕН ЭПИЧЕСКИХ ПЕРСОНАЖЕЙ	meta.json	A41 corpus / Samudra
